edit_history_tweet_ids,public_metrics,id,entities,created_at,author_id,text,username,name
['1972709113520902614'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",1972709113520902614,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-29 17:04:38+00:00,1884055884025733120,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Jajajajajajaja estos firmantes jajajajajJj cafres!!,PerinanSha91379,Sharon Periñan Payares
['1972707647209304237'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",1972707647209304237,"{'urls': [{'start': 320, 'end': 343, 'url': 'https://t.co/QNR1naQ2aA', 'expanded_url': 'https://x.com/CodigoAlarma/status/1972707647209304237/video/1', 'display_url': 'pic.x.com/QNR1naQ2aA', 'media_key': '13_1972707561309696000'}], 'annotations': [{'start': 43, 'end': 56, 'probability': 0.4313, 'type': 'Organization', 'normalized_text': 'OviedoQuéMiedo'}, {'start': 63, 'end': 87, 'probability': 0.3713, 'type': 'Organization', 'normalized_text': 'OviedoRataDefensordeRatas'}, {'start': 89, 'end': 106, 'probability': 0.676, 'type': 'Person', 'normalized_text': 'Juan Daniel Oviedo'}, {'start': 124, 'end': 127, 'probability': 0.5463, 'type': 'Organization', 'normalized_text': 'DANE'}, {'start': 133, 'end': 142, 'probability': 0.8855, 'type': 'Person', 'normalized_text': 'Iván Duque'}, {'start': 177, 'end': 185, 'probability': 0.4913, 'type': 'Person', 'normalized_text': 'María del'}, {'start': 187, 'end': 200, 'probability': 0.4058, 'type': 'Other', 'normalized_text': 'Rosario Guerra'}, {'start': 311, 'end': 318, 'probability': 0.938, 'type': 'Place', 'normalized_text': 'Colombia'}], 'hashtags': [{'start': 42, 'end': 57, 'tag': 'OviedoQuéMiedo'}, {'start': 62, 'end': 88, 'tag': 'OviedoRataDefensordeRatas'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2025-09-29 16:58:48+00:00,1754003293406203904,@JDOviedoAr @petrogustavo @ConTodaPorCol 🔴#OviedoQuéMiedo!!! 🔴#OviedoRataDefensordeRatas Juan Daniel Oviedo Ex-director del DANE con Iván Duque y asesor de la uribista corrupta María del Rosario Guerra se jacta de sus peligrosas simpatías a favor de las élites parásitas de clase política corrupta y ladrona de Colombia https://t.co/QNR1naQ2aA,CodigoAlarma,Código Alerta Roja
['1972706508816458232'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",1972706508816458232,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-29 16:54:17+00:00,128059106,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Y este quien es?,Davicomadreja,•Davico•
['1972704344509231559'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}",1972704344509231559,"{'annotations': [{'start': 223, 'end': 225, 'probability': 0.9586, 'type': 'Place', 'normalized_text': 'USA'}, {'start': 359, 'end': 362, 'probability': 0.6251, 'type': 'Organization', 'normalized_text': 'MBTU'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'Mauriciotellez', 'id': '47946532'}, {'start': 16, 'end': 31, 'username': 'SergioCabrales', 'id': '43043907'}, {'start': 32, 'end': 43, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 44, 'end': 55, 'username': 'JoseILopez', 'id': '66791821'}, {'start': 56, 'end': 72, 'username': 'fernandoposada_', 'id': '147705809'}, {'start': 73, 'end': 83, 'username': 'SashaGrey', 'id': '16089776'}, {'start': 84, 'end': 95, 'username': 'figuerjoda', 'id': '180861689'}, {'start': 96, 'end': 107, 'username': 'MunirFalah', 'id': '602042137'}, {'start': 108, 'end': 118, 'username': 'Jmfariasu', 'id': '888784815830556673'}, {'start': 119, 'end': 125, 'username': 'rasbe', 'id': '22451566'}, {'start': 126, 'end': 138, 'username': 'BabaRamDass', 'id': '43464948'}, {'start': 197, 'end': 210, 'username': 'ECOPETROL_SA', 'id': '54203675'}]}",2025-09-29 16:45:41+00:00,777688780526399489,"@Mauriciotellez @SergioCabrales @JDOviedoAr @JoseILopez @fernandoposada_ @SashaGrey @figuerjoda @MunirFalah @Jmfariasu @rasbe @BabaRamDass 15 billones nos cuesta importar gas más caro, que lo trae @ECOPETROL_SA de fracking USA al triple del precio, cuando se opone al fracking aquí. Doble de emisiones, aprovecha a subir precio del nacional de 5 a 10 dólares MBTU. 35MM de paganinis, negocio socio.",Mohamma76526023,Mauricio Olascoaga
['1972703856652857409'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",1972703856652857409,"{'annotations': [{'start': 177, 'end': 190, 'probability': 0.9961, 'type': 'Place', 'normalized_text': 'Estados Unidos'}, {'start': 207, 'end': 211, 'probability': 0.9812, 'type': 'Person', 'normalized_text': 'Trump'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",2025-09-29 16:43:45+00:00,317419999,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Para este pelmazo sumar es ir a Estados Unidos y chuparsela a Trump.,MiguelHernand29,Miguel Hernández 🦋🥑🐝🐴🌮🥘
['1972703028244267229'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",1972703028244267229,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 27, 'end': 43, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",2025-09-29 16:40:27+00:00,581847750,@JDOviedoAr @ConTodaPorCol @MejorJuntos_col No más pensejos...como mierda!,paterbello,Pater
['1972700019179360386'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}",1972700019179360386,"{'annotations': [{'start': 59, 'end': 64, 'probability': 0.7848, 'type': 'Person', 'normalized_text': 'oviedo'}, {'start': 85, 'end': 91, 'probability': 0.9619, 'type': 'Person', 'normalized_text': 'Fajardo'}, {'start': 95, 'end': 101, 'probability': 0.8707, 'type': 'Person', 'normalized_text': 'Gaviria'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2025-09-29 16:28:30+00:00,1449484952,"@JDOviedoAr @petrogustavo @ConTodaPorCol Todos sabemos que oviedo termina apoyando a Fajardo o Gaviria para terminar apoyando realmente al que quieren, al que diga uribe cierto?",KalwaRun,Un-tal-ivan
['1972699829584220609'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",1972699829584220609,"{'annotations': [{'start': 60, 'end': 68, 'probability': 0.5436, 'type': 'Other', 'normalized_text': 'arodillad'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2025-09-29 16:27:45+00:00,46371782,@JDOviedoAr @petrogustavo @ConTodaPorCol otra loca y fach@  arodillad@ pa variar,nomashitco,Viviendo en exilio
['1972699694620102976'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",1972699694620102976,"{'urls': [{'start': 319, 'end': 342, 'url': 'https://t.co/bHqJZyu0uE', 'expanded_url': 'https://x.com/nomashitco/status/1972699694620102976/photo/1', 'display_url': 'pic.x.com/bHqJZyu0uE', 'media_key': '3_1972699688630435840'}], 'hashtags': [{'start': 286, 'end': 299, 'tag': 'vendepatrias'}, {'start': 300, 'end': 318, 'tag': 'PetroLíderMundial'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2025-09-29 16:27:12+00:00,46371782,"@JDOviedoAr @petrogustavo @ConTodaPorCol mi vecin@ uribista anda feliz porque dizque le quitaron la visa a Petro🤡
Detalle: ¡ella NO tiene visa! El país que tanto ama🇺🇸 se la ha NEGADO 3 VECES😂
La ven como la pobre BOBA H.. sin un peso, con ganas infinitas de irse a lavar baños en USA😅
#vendepatrias
#PetroLíderMundial https://t.co/bHqJZyu0uE",nomashitco,Viviendo en exilio
['1972698125262295253'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}",1972698125262295253,"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 27, 'end': 43, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",2025-09-29 16:20:58+00:00,1681808216554913792,"@JDOviedoAr @ConTodaPorCol @MejorJuntos_col Hackearon el dañe y ni se dio cuenta , luego lo ocultó varios meses hasta que filtro a la prensa.

Solo la gente que no sabe lo inútil que es subió la mano",zetazzzzzz,zeta
