entities,author_id,id,created_at,public_metrics,text,edit_history_tweet_ids,username,name
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 45, 'end': 48, 'probability': 0.3695, 'type': 'Organization', 'normalized_text': 'care'}, {'start': 125, 'end': 131, 'probability': 0.569, 'type': 'Organization', 'normalized_text': 'tigresa'}, {'start': 138, 'end': 146, 'probability': 0.6486, 'type': 'Person', 'normalized_text': 'jopo jopo'}]}",1256338864001728512,1971082930060656882,2025-09-25 05:22:46+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}","@JDOviedoAr Ya se me había olvidado que este care chimba existía, como le a ido en su campaña, de casualidad se unirá con la tigresa y el jopo jopo",['1971082930060656882'],FerMurcia3,Fer.Murcia
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 35, 'end': 40, 'probability': 0.7858, 'type': 'Person', 'normalized_text': 'Nariño'}]}",283350073,1971077951547687276,2025-09-25 05:02:59+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",@JDOviedoAr Te imaginas la casa de Nariño llena de caca,['1971077951547687276'],kevinLozada20,Kevin Lozada
"{'mentions': [{'start': 34, 'end': 45, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '7_1971074570976161793'}, {'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '7_1971074691499462656'}, {'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '3_1971021129042071552'}, {'start': 54, 'end': 77, 'url': 'https://t.co/GxfU4rB7lW', 'expanded_url': 'https://x.com/garycorrea/status/1971074756184244677/video/1', 'display_url': 'pic.x.com/GxfU4rB7lW', 'media_key': '3_1971021121395806209'}], 'annotations': [{'start': 17, 'end': 22, 'probability': 0.4731, 'type': 'Place', 'normalized_text': 'Bogota'}, {'start': 24, 'end': 31, 'probability': 0.9735, 'type': 'Place', 'normalized_text': 'Colombia'}]}",71021430,1971074756184244677,2025-09-25 04:50:17+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 88}","Inaguración sede Bogota Colombia 
@JDOviedoAr 
🇨🇴🇨🇴🇨🇴 https://t.co/GxfU4rB7lW",['1971074756184244677'],garycorrea,Gary Enrique Correa Holguín 🇨🇴 🇮🇱 🇺🇸
"{'mentions': [{'start': 0, 'end': 13, 'username': 'CaracolRadio', 'id': '19236074'}, {'start': 39, 'end': 50, 'username': 'JDOviedoAr', 'id': '219434063'}]}",849855508580380673,1971065310943015315,2025-09-25 04:12:45+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 9}",@CaracolRadio Pero será que el ilustre @JDOviedoAr devuelve los salarios que devengo como concejal? Sabiéndose inhabilitado,['1971065310943015315'],Oscarroncancio4,Oscar roncancio
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1584131072,1971063318694822263,2025-09-25 04:04:50+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3}",@JDOviedoAr De verdad es vergonzoso tener tantos candidatos a la presidencia. Muchos egos y poca proyección del desarrollo del país y la calidad de vida de la gente.,['1971063318694822263'],MARTHAARIZA8,MP AG
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",215681072,1971053135138640117,2025-09-25 03:24:22+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 3}","@JDOviedoAr Ud es un buen elemento, no se detenga .",['1971053135138640117'],oscarpradillav,Oscar Pradilla
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1503179202094321673,1971052996655292715,2025-09-25 03:23:49+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",@JDOviedoAr Cuando va a devolver los sueldos que nos robó? Usted sabía que no estaba siendo honesto,['1971052996655292715'],faltidio,juan carlos huertas castro
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1221598564545187845,1971047295077761404,2025-09-25 03:01:10+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 15}",@JDOviedoAr Voté por usted pero no veo gestión alguna más que usar el cargo de trampolín para otros cargos,['1971047295077761404'],johnpd2,Dan Dreiberg
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 156, 'end': 169, 'probability': 0.5105, 'type': 'Other', 'normalized_text': 'PoliticaBacana'}], 'hashtags': [{'start': 155, 'end': 170, 'tag': 'PoliticaBacana'}]}",168876521,1971045851448668327,2025-09-25 02:55:25+00:00,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1237}","@JDOviedoAr Esta haciendo una campaña honesta, de frente a la comunidad y juiciosa. Estuve en un conversatorio con usted y fue genuino,  asertivo y claro. #PoliticaBacana",['1971045851448668327'],prospectador,Prospectador
"{'mentions': [{'start': 0, 'end': 15, 'username': 'alegriafonseca', 'id': '342879842'}, {'start': 16, 'end': 29, 'username': 'wilcheschaux', 'id': '248001840'}, {'start': 30, 'end': 44, 'username': 'delmarpizarro', 'id': '177168055'}, {'start': 45, 'end': 56, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/FPMDESgx5D', 'expanded_url': 'https://twitter.com/error314diseno/status/1971027716385501448', 'display_url': 'x.com/error314diseno…'}]}",607810164,1971043063167631523,2025-09-25 02:44:21+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}",@alegriafonseca @wilcheschaux @delmarpizarro @JDOviedoAr https://t.co/FPMDESgx5D,['1971043063167631523'],error314diseno,universidad de la basura
