entities,author_id,id,text,edit_history_tweet_ids,public_metrics,created_at,username,name
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 27, 'end': 34, 'probability': 0.7873, 'type': 'Person', 'normalized_text': 'Abelardo'}, {'start': 37, 'end': 41, 'probability': 0.5219, 'type': 'Person', 'normalized_text': 'Vicky'}, {'start': 45, 'end': 58, 'probability': 0.7548, 'type': 'Person', 'normalized_text': 'María Fernanda'}]}",1798482994845372416,1971235695978217508,"@JDOviedoAr Mijita únase a Abelardo, Vicky o María Fernanda, ellos son fuertes mija,😂😂😂",['1971235695978217508'],"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",2025-09-25 15:29:48+00:00,DestierroApetro,William Cardona
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 76, 'end': 80, 'probability': 0.4067, 'type': 'Person', 'normalized_text': 'pelao'}], 'urls': [{'start': 107, 'end': 130, 'url': 'https://t.co/qybJepKl5c', 'expanded_url': 'https://x.com/HannibalDex/status/1971231749754716507/photo/1', 'display_url': 'pic.x.com/qybJepKl5c', 'media_key': '16_1971231746910822400'}]}",1515823760766607361,1971231749754716507,"@JDOviedoAr Yo no lo culpo 🙄 a esta loca lo ponían a ver los teletubbies de pelao, por eso quedó atrofiao. https://t.co/qybJepKl5c",['1971231749754716507'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",2025-09-25 15:14:07+00:00,HannibalDex,Ⲏⲁⲛⲛⲓⲃⲁ𝓵Ⲇⲉⲭ 🀄
"{'mentions': [{'start': 0, 'end': 13, 'username': 'CaracolRadio', 'id': '19236074'}, {'start': 14, 'end': 25, 'username': 'JDOviedoAr', 'id': '219434063'}]}",473904586,1971230966250389633,@CaracolRadio @JDOviedoAr devuelva los salarios corrupto,['1971230966250389633'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}",2025-09-25 15:11:00+00:00,ANDREWLOPI,Andrew Lop!!
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 24, 'end': 47, 'url': 'https://t.co/D0ILgUSWDR', 'expanded_url': 'https://twitter.com/senadormotoa/status/1971213459342651564', 'display_url': 'x.com/senadormotoa/s…'}]}",1171563661162360843,1971230771429114124,@JDOviedoAr De interés. https://t.co/D0ILgUSWDR,['1971230771429114124'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",2025-09-25 15:10:14+00:00,Cardenas98Johan,Johan Cardenas
"{'mentions': [{'start': 97, 'end': 108, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 146, 'end': 158, 'username': 'ifmnoticias', 'id': '910239873298259969'}], 'annotations': [{'start': 0, 'end': 16, 'probability': 0.8413, 'type': 'Organization', 'normalized_text': 'Consejo de Estado'}, {'start': 53, 'end': 70, 'probability': 0.7116, 'type': 'Person', 'normalized_text': 'Juan Daniel Oviedo'}, {'start': 89, 'end': 94, 'probability': 0.9355, 'type': 'Place', 'normalized_text': 'Bogotá'}], 'urls': [{'start': 110, 'end': 133, 'url': 'https://t.co/RyZzDkhVR8', 'expanded_url': 'https://ifmnoticias.com/consejo-de-estado-confirmo-nulidad-de-la-eleccion-de-juan-daniel-oviedo-como-concejal-de-bogota/', 'display_url': 'ifmnoticias.com/consejo-de-est…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1971228150089605120/3u-cxYhN?format=jpg&name=orig', 'width': 800, 'height': 134}, {'url': 'https://pbs.twimg.com/news_img/1971228150089605120/3u-cxYhN?format=jpg&name=150x150', 'width': 134, 'height': 134}], 'status': 200, 'title': 'Consejo de Estado confirmó nulidad de la elección de Juan Daniel Oviedo como concejal de Bogotá', 'description': 'El Consejo de Estado ratificó la nulidad de la elección de Juan Daniel Oviedo como concejal de Bogotá para el periodo 2024-2027. La decisión, adoptada en sentencia del 18 de septiembre de 2025, resolvió de manera definitiva el proceso judicial que cuestionaba la validez de su designación en el cabildo distrital.', 'unwound_url': 'https://ifmnoticias.com/consejo-de-estado-confirmo-nulidad-de-la-eleccion-de-juan-daniel-oviedo-como-concejal-de-bogota/'}, {'start': 159, 'end': 182, 'url': 'https://t.co/xYCsMtr1Ct', 'expanded_url': 'https://x.com/ifmnoticias/status/1971229946141130765/photo/1', 'display_url': 'pic.x.com/xYCsMtr1Ct', 'media_key': '3_1971229902847225857'}]}",910239873298259969,1971229946141130765,"Consejo de Estado confirmó nulidad de la elección de Juan Daniel Oviedo como concejal de Bogotá 
@JDOviedoAr 
https://t.co/RyZzDkhVR8 a través de @ifmnoticias https://t.co/xYCsMtr1Ct",['1971229946141130765'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 45}",2025-09-25 15:06:57+00:00,ifmnoticias,IFMNOTICIAS
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1679270359080611840,1971229228466311418,@JDOviedoAr 😅🤡 no le da vergüenza hacer este tipo de videos?,['1971229228466311418'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",2025-09-25 15:04:06+00:00,GATO_KARIN,✊🇵🇸
"{'mentions': [{'start': 41, 'end': 56, 'username': 'AndresJRendonC', 'id': '137758797'}, {'start': 76, 'end': 87, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 184, 'end': 207, 'url': 'https://t.co/L4OdvKizf4', 'expanded_url': 'https://twitter.com/senadormotoa/status/1971213459342651564', 'display_url': 'x.com/senadormotoa/s…'}]}",1865766890259533824,1971229220224540687,Ese Referendo no era cosa del Gobernador @AndresJRendonC ni de figuras como @JDOviedoAr: era el clamor de un país que exigía descentralización y autonomía FISCAL para los territorios. https://t.co/L4OdvKizf4,['1971229220224540687'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",2025-09-25 15:04:04+00:00,CamiloCard0180,Camilo Cárdenas
"{'mentions': [{'start': 0, 'end': 13, 'username': 'senadormotoa', 'id': '98734035'}, {'start': 55, 'end': 70, 'username': 'AndresJRendonC', 'id': '137758797'}, {'start': 90, 'end': 101, 'username': 'JDOviedoAr', 'id': '219434063'}]}",1865766890259533824,1971229196275048791,@senadormotoa Ese Referendo no era cosa del Gobernador @AndresJRendonC ni de figuras como @JDOviedoAr: era el clamor de un país que exigía descentralización y autonomía FISCAL para los territorios.,['1971229196275048791'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",2025-09-25 15:03:58+00:00,CamiloCard0180,Camilo Cárdenas
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'urls': [{'start': 67, 'end': 90, 'url': 'https://t.co/WQTSgGwQkq', 'expanded_url': 'https://twitter.com/caracolradio/status/1971023921987428844', 'display_url': 'x.com/caracolradio/s…'}]}",211001112,1971227019582345531,@JDOviedoAr y esas platica en salarios como concejal que hacemos ? https://t.co/WQTSgGwQkq,['1971227019582345531'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",2025-09-25 14:55:19+00:00,san_ti_llan,Santillan
"{'hashtags': [{'start': 32, 'end': 44, 'tag': 'POLITIQUERO'}, {'start': 45, 'end': 55, 'tag': 'CHARLATAN'}, {'start': 77, 'end': 89, 'tag': 'POLITIQUERO'}, {'start': 90, 'end': 100, 'tag': 'CHARLATAN'}, {'start': 122, 'end': 134, 'tag': 'POLITIQUERO'}, {'start': 135, 'end': 145, 'tag': 'CHARLATAN'}, {'start': 167, 'end': 179, 'tag': 'POLITIQUERO'}, {'start': 180, 'end': 190, 'tag': 'CHARLATAN'}, {'start': 212, 'end': 224, 'tag': 'POLITIQUERO'}, {'start': 225, 'end': 235, 'tag': 'CHARLATAN'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}], 'annotations': [{'start': 33, 'end': 43, 'probability': 0.4456, 'type': 'Person', 'normalized_text': 'POLITIQUERO'}, {'start': 46, 'end': 54, 'probability': 0.8327, 'type': 'Person', 'normalized_text': 'CHARLATAN'}, {'start': 78, 'end': 88, 'probability': 0.6628, 'type': 'Person', 'normalized_text': 'POLITIQUERO'}, {'start': 91, 'end': 99, 'probability': 0.8273, 'type': 'Person', 'normalized_text': 'CHARLATAN'}, {'start': 136, 'end': 144, 'probability': 0.8264, 'type': 'Person', 'normalized_text': 'CHARLATAN'}, {'start': 181, 'end': 189, 'probability': 0.7536, 'type': 'Person', 'normalized_text': 'CHARLATAN'}, {'start': 213, 'end': 223, 'probability': 0.6193, 'type': 'Person', 'normalized_text': 'POLITIQUERO'}, {'start': 226, 'end': 234, 'probability': 0.4786, 'type': 'Person', 'normalized_text': 'CHARLATAN'}]}",1711315452,1971225008212263408,"@JDOviedoAr POLITIQUERÍA BARATA #POLITIQUERO #CHARLATAN 
POLITIQUERÍA BARATA #POLITIQUERO #CHARLATAN 
POLITIQUERÍA BARATA #POLITIQUERO #CHARLATAN 
POLITIQUERÍA BARATA #POLITIQUERO #CHARLATAN 
POLITIQUERÍA BARATA #POLITIQUERO #CHARLATAN",['1971225008212263408'],"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",2025-09-25 14:47:20+00:00,DaniloRockero,Danilo Rock
