entities,author_id,id,text,created_at,public_metrics,edit_history_tweet_ids,username,name
"{'annotations': [{'start': 265, 'end': 272, 'probability': 0.9831, 'type': 'Place', 'normalized_text': 'Colombia'}], 'urls': [{'start': 275, 'end': 298, 'url': 'https://t.co/xu0bC6BXFs', 'expanded_url': 'https://x.com/mikeariza/status/1973030623792296212/photo/1', 'display_url': 'pic.x.com/xu0bC6BXFs', 'media_key': '3_1973030479793131520'}], 'hashtags': [{'start': 264, 'end': 273, 'tag': 'Colombia'}], 'mentions': [{'start': 67, 'end': 80, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 81, 'end': 93, 'username': 'pipecordoba', 'id': '29055849'}, {'start': 94, 'end': 110, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 111, 'end': 123, 'username': 'mclacouture', 'id': '302794483'}, {'start': 124, 'end': 134, 'username': 'lunadavid', 'id': '44740326'}, {'start': 135, 'end': 146, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 147, 'end': 163, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 164, 'end': 178, 'username': 'mluciaramirez', 'id': '198984928'}, {'start': 179, 'end': 195, 'username': 'juanmanuelgalan', 'id': '31162623'}]}",177823502,1973030623792296212,"El RIDICULO que hicieron estos señores de la ultraderecha uribista @MauricioCard @pipecordoba @MauricioGomezCO @mclacouture @lunadavid @JDOviedoAr @EnriquePenalosa @mluciaramirez @juanmanuelgalan ARRODILLADOS ante un presidente CONVICTO, ninguno merece un voto de #Colombia. https://t.co/xu0bC6BXFs",2025-09-30 14:22:12+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1973030623792296212'],mikeariza,Miguel Ariza Castro
"{'mentions': [{'start': 0, 'end': 15, 'username': 'lavozdelojusto', 'id': '1198472407662649344'}, {'start': 16, 'end': 27, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 28, 'end': 42, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 43, 'end': 59, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",3145461383,1973029119152787676,@lavozdelojusto @JDOviedoAr @ConTodaPorCol @MejorJuntos_col Usted no sabe que el que es homofóbico algo le pasa..pues no sé eso dicen,2025-09-30 14:16:13+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1973029119152787676'],08Rosareda,Andrea 🦕 🌌💋🐳🐙
"{'annotations': [{'start': 76, 'end': 79, 'probability': 0.987, 'type': 'Place', 'normalized_text': 'Gaza'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'Palabrejo', 'id': '374148074'}, {'start': 11, 'end': 22, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 23, 'end': 37, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 38, 'end': 54, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",3145461383,1973028989192314940,"@Palabrejo @JDOviedoAr @ConTodaPorCol @MejorJuntos_col Y soldados para ir a Gaza,la verdad va a ser un ejercito bien grande sin bastantes",2025-09-30 14:15:42+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1973028989192314940'],08Rosareda,Andrea 🦕 🌌💋🐳🐙
"{'annotations': [{'start': 63, 'end': 71, 'probability': 0.9047, 'type': 'Person', 'normalized_text': 'Benedetti'}], 'mentions': [{'start': 0, 'end': 15, 'username': '527ElduroJadin', 'id': '3243363825'}, {'start': 16, 'end': 27, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 28, 'end': 42, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 43, 'end': 59, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",3145461383,1973028873748238623,"@527ElduroJadin @JDOviedoAr @ConTodaPorCol @MejorJuntos_col Si Benedetti y compañía lo hacen porque no, usted también lo haría",2025-09-30 14:15:15+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1973028873748238623'],08Rosareda,Andrea 🦕 🌌💋🐳🐙
"{'annotations': [{'start': 60, 'end': 64, 'probability': 0.8332, 'type': 'Person', 'normalized_text': 'Petro'}, {'start': 89, 'end': 96, 'probability': 0.9813, 'type': 'Place', 'normalized_text': 'Colombia'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'sircamilopinto', 'id': '2959034979'}, {'start': 16, 'end': 27, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 28, 'end': 42, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 43, 'end': 59, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",3145461383,1973028724628238409,@sircamilopinto @JDOviedoAr @ConTodaPorCol @MejorJuntos_col Petro? Así y siguió con toda Colombia pero que sea hace para decirle.  Ya va para su viaje 100.000,2025-09-30 14:14:39+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 5}",['1973028724628238409'],08Rosareda,Andrea 🦕 🌌💋🐳🐙
"{'annotations': [{'start': 80, 'end': 88, 'probability': 0.8383, 'type': 'Person', 'normalized_text': 'Benedetti'}, {'start': 92, 'end': 98, 'probability': 0.4824, 'type': 'Person', 'normalized_text': 'Sarabia'}, {'start': 140, 'end': 143, 'probability': 0.4538, 'type': 'Person', 'normalized_text': 'Sade'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'PiaCainarc14863', 'id': '1804195942913986560'}, {'start': 17, 'end': 28, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 29, 'end': 43, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 44, 'end': 60, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",3145461383,1973028519023428069,@PiaCainarc14863 @JDOviedoAr @ConTodaPorCol @MejorJuntos_col Sino devuelve nada Benedetti y Sarabia o que me cuenta del Pastor del infierno Sade ahora un señor que por lo menos si roba algo hace,2025-09-30 14:13:50+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1973028519023428069'],08Rosareda,Andrea 🦕 🌌💋🐳🐙
"{'annotations': [{'start': 84, 'end': 87, 'probability': 0.9876, 'type': 'Place', 'normalized_text': 'Gaza'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'Runner40870766', 'id': '1107453701545955333'}, {'start': 16, 'end': 27, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 28, 'end': 42, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 43, 'end': 59, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",3145461383,1973028336650878995,@Runner40870766 @JDOviedoAr @ConTodaPorCol @MejorJuntos_col Ay un soldado para ir a Gaza ya tienen todo listo,2025-09-30 14:13:07+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",['1973028336650878995'],08Rosareda,Andrea 🦕 🌌💋🐳🐙
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",520652537,1973024258311024968,@JDOviedoAr @ConTodaPorCol Este gemelo no es más que otro de relleno,2025-09-30 13:56:54+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1973024258311024968'],cpino527,un vecino gruñón
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 42, 'end': 58, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 59, 'end': 68, 'username': 'AForeroM', 'id': '465089702'}, {'start': 69, 'end': 79, 'username': 'lunadavid', 'id': '44740326'}, {'start': 80, 'end': 91, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 92, 'end': 100, 'username': 'jrestrp', 'id': '327553766'}, {'start': 101, 'end': 114, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 115, 'end': 127, 'username': 'PinzonBueno', 'id': '3401638840'}]}",2883116211,1973003577506615446,@JDOviedoAr @ConTodaPorCol Hora de unirse @EnriquePenalosa @AForeroM @lunadavid @JDOviedoAr @jrestrp @MauricioCard @PinzonBueno,2025-09-30 12:34:44+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 10}",['1973003577506615446'],Boyacaindt,LaPalabra
"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",1152411349,1972997357265637837,@JDOviedoAr @ConTodaPorCol La suya está en nada porque robó al Estado.,2025-09-30 12:10:01+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 4}",['1972997357265637837'],SlumdogUnderdog,Edwin Delgado Riaño
