username,account_info,profile
mikeariza,"{'id': '177823502', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/177823502/1621960391', 'public_metrics': {'followers_count': 453, 'following_count': 154, 'tweet_count': 59251, 'listed_count': 2, 'like_count': 75809, 'media_count': 11984}, 'username': 'mikeariza', 'location': 'Colombia', 'description': '', 'created_at': '2010-08-13T04:16:00.000Z', 'name': 'Miguel Ariza Castro'}","<h1>Perfil de Usuario: Miguel Ariza Castro</h1>

<p><strong>Información Básica:</strong></p>
<ul>
  <li><strong>Nombre:</strong> Miguel Ariza Castro</li>
  <li><strong>Usuario:</strong> @mikeariza</li>
  <li><strong>Ubicación:</strong> Colombia</li>
  <li><strong>Fecha de Creación de la Cuenta:</strong> 13 de agosto de 2010</li>
</ul>

<p><strong>Métricas Públicas:</strong></p>
<ul>
  <li><strong>Seguidores:</strong> 453</li>
  <li><strong>Siguiendo:</strong> 154 cuentas</li>
  <li><strong>Tweets Publicados:</strong> 59,251</li>
  <li><strong>Listas en las que está incluido:</strong> 2</li>
  <li><strong>Me gusta dados:</strong> 75,809</li>
  <li><strong>Medios publicados:</strong> 11,984</li>
</ul>

<p><strong>Alcance en Redes Sociales:</strong></p>
<p>Con 453 seguidores y una actividad considerable en la plataforma X (anteriormente Twitter), @mikeariza tiene un alcance moderado. Su capacidad para interactuar y difundir información a su audiencia puede ser un factor a considerar en estrategias de comunicación política.</p>

<p><strong>Segmentación para Campaña Política:</strong></p>
<p>Considerando su ubicación en Colombia y su perfil, podría ser de interés para campañas políticas que busquen influir en la opinión pública a nivel local o nacional. Su experiencia en la plataforma, con más de 11 años de actividad y una cantidad significativa de tweets, sugiere que podría ser un usuario con opiniones firmes y una voz activa en su comunidad.</p>"
08Rosareda,"{'id': '3145461383', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/3145461383/1708104485', 'public_metrics': {'followers_count': 171, 'following_count': 137, 'tweet_count': 16561, 'listed_count': 0, 'like_count': 42798, 'media_count': 5418}, 'username': '08Rosareda', 'description': 'BTS, O7, jk biased \n\n💜💜💜\n 🥰', 'created_at': '2015-04-07T20:50:55.000Z', 'name': 'Andrea 🦕 🌌💋🐳🐙'}","<h1>Segmentación de usuario para campaña política</h1>

<p> A continuación, se presenta la información extraída de la cuenta de usuario <b>08Rosareda</b> en formato JSON, segmentada para una campaña política:</p>

<ul>
  <li><b>Nombre:</b> Andrea </li>
  <li><b>Nombre de usuario:</b> @08Rosareda </li>
  <li><b>Descripción:</b> Fan de BTS, con preferencia por jk </li>
  <li><b>Fecha de creación de la cuenta:</b> 7 de abril de 2015 </li>
</ul>

<h2>Alcance en redes sociales</h2>

<ul>
  <li><b>Seguidores:</b> 171 </li>
  <li><b>Siguiendo:</b> 137 cuentas </li>
  <li><b>Tweets publicados:</b> 16,561 </li>
  <li><b>Me gusta:</b> 42,798 </li>
  <li><b>Publicaciones con medios:</b> 5,418 </li>
</ul>

<p>Esta información sugiere que el usuario <b>08Rosareda</b> es una fan activa de BTS, con un alcance moderado en la red social X (anteriormente Twitter). Su contenido está centrado en su interés por la banda y tiene una interacción significativa con otros usuarios.</p>

<p>Para una campaña política, este usuario podría ser considerado como un <b>influencer micro</b> en su nicho de interés. Su alcance, aunque limitado, puede ser valioso para campañas que buscan conectar con fans de la música K-pop y, en particular, de BTS.</p>"
cpino527,"{'id': '520652537', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/520652537/1420168919', 'public_metrics': {'followers_count': 90, 'following_count': 108, 'tweet_count': 4725, 'listed_count': 0, 'like_count': 4529, 'media_count': 174}, 'username': 'cpino527', 'location': 'Colombia ', 'description': 'no soy puntual pero me voy a tiempo !', 'created_at': '2012-03-10T19:07:19.000Z', 'name': 'un vecino gruñón'}","<h1>Perfil de usuario en X (anteriormente Twitter)</h1>

<p><strong>Nombre:</strong> un vecino gruñón</p>
<p><strong>Nombre de usuario:</strong> @cpino527</p>
<p><strong>Ubicación:</strong> Colombia</p>
<p><strong>Descripción:</strong> no soy puntual pero me voy a tiempo !</p>

<h2>Métricas públicas</h2>
<ul>
  <li><strong>Seguidores:</strong> 90</li>
  <li><strong>Siguiendo:</strong> 108</li>
  <li><strong>Tweets publicados:</strong> 4725</li>
  <li><strong>Me gusta:</strong> 4529</li>
  <li><strong>Medios publicados:</strong> 174</li>
  <li><strong>Listas:</strong> 0</li>
</ul>

<h2>Información adicional</h2>
<p><strong>Fecha de creación de la cuenta:</strong> 10 de marzo de 2012</p>
<p><strong>URL del banner del perfil:</strong> <a href=""https://pbs.twimg.com/profile_banners/520652537/1420168919"">https://pbs.twimg.com/profile_banners/520652537/1420168919</a></p>

<p>Este usuario tiene un alcance moderado en X, con 90 seguidores y una actividad significativa en publicaciones y me gusta. Su ubicación en Colombia puede ser relevante para campañas políticas que buscan influir en la opinión pública en este país.</p>"
Boyacaindt,"{'id': '2883116211', 'public_metrics': {'followers_count': 86, 'following_count': 148, 'tweet_count': 7259, 'listed_count': 0, 'like_count': 120494, 'media_count': 146}, 'username': 'Boyacaindt', 'description': 'cuando la patria está en peligro todo está permitido, excepto no defenderla', 'created_at': '2014-11-18T21:10:48.000Z', 'name': 'LaPalabra'}","<h1>Perfil de usuario en X (anteriormente Twitter): LaPalabra</h1>

<p><strong>Información general:</strong></p>
<ul>
  <li><strong>Nombre de usuario:</strong> @Boyacaindt</li>
  <li><strong>Nombre:</strong> LaPalabra</li>
  <li><strong>Descripción:</strong> cuando la patria está en peligro todo está permitido, excepto no defenderla</li>
  <li><strong>Fecha de creación:</strong> 18 de noviembre de 2014</li>
</ul>

<p><strong>Métricas públicas:</strong></p>
<ul>
  <li><strong>Seguidores:</strong> 86</li>
  <li><strong>Seguidos:</strong> 148</li>
  <li><strong>Tweets publicados:</strong> 7259</li>
  <li><strong>Tweets con me gusta:</strong> 120494</li>
  <li><strong>Conteo de lista:</strong> 0</li>
  <li><strong>Conteo de medios:</strong> 146</li>
</ul>

<p><strong>Análisis para campaña política:</strong></p>
<p>Este usuario tiene un alcance limitado en X, con 86 seguidores. Sin embargo, ha publicado una cantidad considerable de tweets (7259), lo que sugiere una actividad sostenida y compromiso con su audiencia. La descripción del perfil revela una postura política o ideológica definida, lo que podría ser relevante para una campaña política que busque conectar con usuarios con opiniones fuertes sobre la patria y la defensa.</p>

<p><strong>Alcance en redes sociales:</strong></p>
<p>Con 86 seguidores, el alcance directo de este usuario es limitado. Sin embargo, su capacidad para generar contenido atractivo (evidenciado por 120494 likes en sus tweets) sugiere que podría tener un impacto más amplio si se le considera en el contexto de una campaña política más grande o si su contenido es compartido por otros usuarios con audiencias más grandes.</p>"
SlumdogUnderdog,"{'id': '1152411349', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1152411349/1389355173', 'public_metrics': {'followers_count': 244, 'following_count': 434, 'tweet_count': 5400, 'listed_count': 1, 'like_count': 7168, 'media_count': 629}, 'username': 'SlumdogUnderdog', 'location': 'Ibagué', 'description': 'Estudiante de Doctorado y Mg. en Educación. Coordinador de un colegio, fotógrafo amateur y guitarrista de rock y metal. (@zetafotografiadigital en INSTAGRAM)', 'created_at': '2013-02-06T00:04:40.000Z', 'name': 'Edwin Delgado Riaño', 'entities': {'description': {'mentions': [{'start': 121, 'end': 142, 'username': 'zetafotografiadigita'}]}}}","<h1>Perfil de Usuario: Edwin Delgado Riaño</h1>

<p><strong>Nombre:</strong> Edwin Delgado Riaño</p>
<p><strong>Usuario:</strong> @SlumdogUnderdog</p>
<p><strong>Ubicación:</strong> Ibagué</p>

<p><strong>Descripción:</strong> Estudiante de Doctorado y Mg. en Educación. Coordinador de un colegio, fotógrafo amateur y guitarrista de rock y metal. (@zetafotografiadigital en INSTAGRAM)</p>

<h2>Métricas Públicas</h2>

<ul>
  <li><strong>Seguidores:</strong> 244</li>
  <li><strong>Siguiendo:</strong> 434</li>
  <li><strong>Tweets:</strong> 5400</li>
  <li><strong>Listas:</strong> 1</li>
  <li><strong>Me gusta:</strong> 7168</li>
  <li><strong>Medios:</strong> 629</li>
</ul>

<h2>Alcance en Redes Sociales</h2>

<p>Con 244 seguidores, @SlumdogUnderdog tiene un alcance moderado en X (anteriormente Twitter). Su presencia en Instagram, mencionada en su descripción, podría ser un factor a considerar para evaluar su influencia en redes sociales.</p>

<p>La cuenta fue creada el 6 de febrero de 2013, lo que sugiere una presencia en línea establecida.</p>

<h2>Segmentación para Campaña Política</h2>

<p>Considerando la ubicación en Ibagué y su perfil como estudiante de Doctorado y Mg. en Educación, así como su rol como coordinador de un colegio, @SlumdogUnderdog podría ser un influencer relevante para campañas políticas enfocadas en educación, juventud o comunidades locales.</p>

<p>Su interés en la fotografía y la música podría ser un punto de conexión con audiencias más jóvenes o con intereses artísticos.</p>"
TDCCompiler,"{'id': '126825247', 'public_metrics': {'followers_count': 833, 'following_count': 1735, 'tweet_count': 54796, 'listed_count': 2, 'like_count': 2275, 'media_count': 477}, 'username': 'TDCCompiler', 'location': 'Colombia', 'description': 'De derecha. si es mamerto o progre a metros.', 'created_at': '2010-03-27T03:14:23.000Z', 'name': 'RAMC'}","<h1>Perfil de usuario en X (anteriormente Twitter)</h1>

<p><strong>Nombre:</strong> RAMC</p>
<p><strong>Nombre de usuario:</strong> @TDCCompiler</p>
<p><strong>Ubicación:</strong> Colombia</p>
<p><strong>Descripción:</strong> De derecha. Si es mamerto o progre a metros.</p>

<h2>Métricas públicas</h2>
<ul>
  <li><strong>Seguidores:</strong> 833</li>
  <li><strong>Siguiendo:</strong> 1735</li>
  <li><strong>Tweets publicados:</strong> 54,796</li>
  <li><strong>Listas en las que está incluido:</strong> 2</li>
  <li><strong>Me gusta dados:</strong> 2,275</li>
  <li><strong>Conteo de medios subidos:</strong> 477</li>
</ul>

<h2>Fecha de creación de la cuenta</h2>
<p>La cuenta fue creada el <strong>27 de marzo de 2010</strong>.</p>

<h2>Análisis para campaña política</h2>
<p>Con 833 seguidores, el alcance de esta cuenta es moderado. La descripción del usuario indica una tendencia política de derecha, lo que podría ser relevante para una campaña política que busque dirigirse a este segmento del electorado. Sin embargo, es importante tener en cuenta que la influencia en redes sociales no solo se mide por el número de seguidores, sino también por la interacción y el contenido que se comparte.</p>

<p>El usuario ha publicado un total de 54,796 tweets, lo que sugiere que está activo en la plataforma y podría tener una influencia considerable en su nicho. La cantidad de me gusta dados (2,275) y el número de medios subidos (477) también indican cierto nivel de engagement y producción de contenido.</p>

<p>Para una campaña política, sería importante considerar cómo interactuar con este usuario y potencialmente colaborar o dirigirse a su audiencia, teniendo en cuenta su tendencia política declarada y su presencia en la plataforma.</p>"
enriqueha,"{'id': '78097014', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/78097014/1745929390', 'public_metrics': {'followers_count': 924, 'following_count': 604, 'tweet_count': 15197, 'listed_count': 1, 'like_count': 33065, 'media_count': 1109}, 'username': 'enriqueha', 'location': 'Colombia', 'description': 'Soy de los de pensamiento crítico y soluciones creativas. Director del podcast cafe.conquique. Escribo en @RazonPublica @Kienyke @El_Pilon y @radioGuatapuri', 'created_at': '2009-09-28T19:21:02.000Z', 'name': 'Enrique Herrera Araújo', 'entities': {'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/ib2q3Hb3QM', 'expanded_url': 'http://www.youtube.com/@CafeconQuique', 'display_url': 'youtube.com/@CafeconQuique'}]}, 'description': {'mentions': [{'start': 106, 'end': 119, 'username': 'RazonPublica'}, {'start': 120, 'end': 128, 'username': 'Kienyke'}, {'start': 129, 'end': 138, 'username': 'El_Pilon'}, {'start': 141, 'end': 156, 'username': 'radioGuatapuri'}]}}}","<h1>Perfil de Usuario: Enrique Herrera Araújo</h1>

<p><strong>Información Básica:</strong></p>
<ul>
  <li><strong>Nombre:</strong> Enrique Herrera Araújo</li>
  <li><strong>Usuario:</strong> @enriqueha</li>
  <li><strong>Ubicación:</strong> Colombia</li>
  <li><strong>Fecha de Creación:</strong> 28 de septiembre de 2009</li>
</ul>

<p><strong>Descripción:</strong></p>
<p>Soy de los de pensamiento crítico y soluciones creativas. Director del podcast <a href=""https://t.co/ib2q3Hb3QM"" target=""_blank"">cafe.conquique</a>. Escribo en @RazonPublica @Kienyke @El_Pilon y @radioGuatapuri</p>

<p><strong>Métricas Públicas:</strong></p>
<ul>
  <li><strong>Seguidores:</strong> 924</li>
  <li><strong>Siguiendo:</strong> 604</li>
  <li><strong>Tweets:</strong> 15,197</li>
  <li><strong>Me gusta:</strong> 33,065</li>
  <li><strong>Medios:</strong> 1,109</li>
  <li><strong>Listas:</strong> 1</li>
</ul>

<p><strong>Redes Sociales y Alcance:</strong></p>
<p>El usuario tiene presencia en varias plataformas, incluyendo:</p>
<ul>
  <li>X (anteriormente Twitter): @enriqueha con 924 seguidores</li>
  <li>YouTube: <a href=""http://www.youtube.com/@CafeconQuique"" target=""_blank"">CafeconQuique</a></li>
  <li>Otras menciones en su descripción: @RazonPublica, @Kienyke, @El_Pilon, @radioGuatapuri</li>
</ul>

<p><strong>Segmentación para Campaña Política:</strong></p>
<p>Con 924 seguidores y una actividad notable en redes sociales, este usuario puede ser considerado un influencer moderado. Su contenido relacionado con pensamiento crítico y soluciones creativas, así como su participación en publicaciones como Razon Publica, Kienyke, El Pilon y Radio Guatapuri, sugiere que puede tener influencia en audiencias interesadas en política, análisis y opinión.</p>

<p><strong>Conclusión:</strong></p>
<p>El usuario @enriqueha presenta un perfil interesante para campañas políticas que buscan influir en audiencias a través de la opinión y el análisis crítico. Su alcance, aunque moderado, puede ser estratégico para campañas que buscan resonar en Colombia a través de voces críticas y creativas.</p>"
ingebarco,"{'id': '916188361', 'public_metrics': {'followers_count': 307, 'following_count': 1500, 'tweet_count': 14247, 'listed_count': 2, 'like_count': 25072, 'media_count': 203}, 'username': 'ingebarco', 'location': 'CALI COLOMBIA', 'description': 'Ingeniero, apasionado por la data.', 'created_at': '2012-10-31T05:12:55.000Z', 'name': 'IngeBarco'}","<h1>Perfil de Usuario: IngeBarco</h1>

<p><strong>Nombre:</strong> IngeBarco</p>
<p><strong>Usuario:</strong> @ingebarco</p>
<p><strong>Ubicación:</strong> CALI COLOMBIA</p>
<p><strong>Descripción:</strong> Ingeniero, apasionado por la data.</p>

<h2>Métricas Públicas</h2>
<ul>
  <li><strong>Seguidores:</strong> 307</li>
  <li><strong>Siguiendo:</strong> 1500</li>
  <li><strong>Tweets:</strong> 14,247</li>
  <li><strong>Listas:</strong> 2</li>
  <li><strong>Me gusta:</strong> 25,072</li>
  <li><strong>Medios:</strong> 203</li>
</ul>

<h2>Alcance en Redes Sociales</h2>
<p>Con 307 seguidores y una actividad de 14,247 tweets, el usuario @ingebarco tiene un alcance moderado en la plataforma X (anteriormente Twitter). Su capacidad para generar contenido y engagement (25,072 me gusta) sugiere que podría ser un influencer o un usuario con cierto nivel de autoridad en su nicho.</p>

<p>Su ubicación en CALI, COLOMBIA, y su descripción como ingeniero apasionado por la data, podrían ser relevantes para segmentar su audiencia y determinar su interés en temas relacionados con tecnología, análisis de datos y economía digital.</p>

<p>Considerando su actividad en línea y su alcance, podría ser un candidato interesante para campañas políticas que busquen influir en la opinión pública en temas de tecnología e innovación en Colombia.</p>"
carmacam,"{'id': '1027360303', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1027360303/1705720974', 'public_metrics': {'followers_count': 1859, 'following_count': 1802, 'tweet_count': 53765, 'listed_count': 1, 'like_count': 213204, 'media_count': 1857}, 'username': 'carmacam', 'location': 'Averno city, osea Bogotá', 'description': '- Agnostic Front - Rockero hasta los tuetanos - Intolerante al Narco Uribismo-Teórico de los antiguos astronautas- Iluminati varado', 'created_at': '2012-12-21T23:22:25.000Z', 'name': 'izzio'}","<h1>Perfil de Usuario: @carmacam</h1>

<p><strong>Nombre:</strong> izzio</p>
<p><strong>Ubicación:</strong> Averno city, osea Bogotá</p>
<p><strong>Descripción:</strong> - Agnostic Front - Rockero hasta los tuetanos - Intolerante al Narco Uribismo-Teórico de los antiguos astronautas- Iluminati varado</p>

<h2>Métricas Públicas</h2>
<ul>
  <li><strong>Seguidores:</strong> 1859</li>
  <li><strong>Siguiendo:</strong> 1802</li>
  <li><strong>Tweets:</strong> 53765</li>
  <li><strong>Listas:</strong> 1</li>
  <li><strong>Me gusta:</strong> 213204</li>
  <li><strong>Medios:</strong> 1857</li>
</ul>

<h2>Información Adicional</h2>
<p><strong>ID:</strong> 1027360303</p>
<p><strong>URL de banner de perfil:</strong> <a href=""https://pbs.twimg.com/profile_banners/1027360303/1705720974"">https://pbs.twimg.com/profile_banners/1027360303/1705720974</a></p>
<p><strong>Fecha de creación:</strong> 21 de diciembre de 2012</p>

<h2>Alcance en Redes Sociales</h2>
<p>Con 1859 seguidores, @carmacam tiene un alcance moderado en X (anteriormente Twitter). Su actividad en la plataforma, con 53765 tweets y 213204 me gusta, sugiere que tiene una influencia notable en su nicho. Su descripción y ubicación sugieren que se enfoca en temas relacionados con la música y la política en Bogotá.</p>

<p>Este perfil puede ser de interés para campañas políticas que buscan llegar a audiencias apasionadas por la música y la política en la región de Bogotá. Su contenido y actividad sugieren que podría ser un influencer valioso para movilizar opinión y generar debate en torno a temas políticos y sociales.</p>"
MaoVelOb,"{'id': '86405527', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/86405527/1674162546', 'public_metrics': {'followers_count': 75, 'following_count': 248, 'tweet_count': 3413, 'listed_count': 0, 'like_count': 6847, 'media_count': 139}, 'username': 'MaoVelOb', 'location': 'Bogotá', 'description': '', 'created_at': '2009-10-30T22:02:05.000Z', 'name': 'Ⓜ️🅰️🅾️'}","<h1>Perfil de Usuario en X (Twitter)</h1>

<p><strong>Nombre de Usuario:</strong> MaoVelOb</p>
<p><strong>Nombre:</strong> <span>&#24c2&#fe0f&#ud83c&#udd70&#fe0f&#ud83c&#udd7e&#fe0f</span></p>
<p><strong>Ubicación:</strong> Bogotá</p>
<p><strong>Descripción:</strong> </p>
<p><strong>Fecha de Creación:</strong> 30 de octubre de 2009</p>

<h2>Métricas Públicas</h2>

<ul>
  <li><strong>Seguidores:</strong> 75</li>
  <li><strong>Siguiendo:</strong> 248</li>
  <li><strong>Tweets:</strong> 3413</li>
  <li><strong>Listas:</strong> 0</li>
  <li><strong>Me gusta:</strong> 6847</li>
  <li><strong>Medios:</strong> 139</li>
</ul>

<h2>Alcance en Redes Sociales</h2>

<p>Con 75 seguidores y 248 cuentas siguiendo, este usuario tiene un alcance moderado en X (Twitter). Su actividad, con 3413 tweets y 6847 me gusta, sugiere una participación activa en la plataforma. Sin embargo, su influencia podría ser limitada debido a su tamaño de audiencia relativamente pequeño.</p>

<p>Es importante considerar estas métricas al segmentar este usuario para una campaña política, ya que su alcance podría ser limitado en comparación con influencers o cuentas más populares.</p>"
