public_metrics,edit_history_tweet_ids,entities,author_id,text,id,created_at,username,name
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 8}",['1972716650454462784'],"{'mentions': [{'start': 136, 'end': 151, 'username': 'sergio_fajardo', 'id': '25185308'}, {'start': 152, 'end': 165, 'username': 'VickyDavilaH', 'id': '242730842'}, {'start': 166, 'end': 182, 'username': 'PalomaValenciaL', 'id': '149281495'}, {'start': 183, 'end': 195, 'username': 'PinzonBueno', 'id': '3401638840'}, {'start': 196, 'end': 212, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 213, 'end': 223, 'username': 'JERobledo', 'id': '268322810'}, {'start': 224, 'end': 237, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 238, 'end': 249, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 250, 'end': 260, 'username': 'lunadavid', 'id': '44740326'}, {'start': 261, 'end': 277, 'username': 'juanmanuelgalan', 'id': '31162623'}]}",711625565489537024,"Consulta de centro derecha izquierda. 
Señores hay que consolidar el bloque. 
Nos van a implosionar y a ganar las maldingas orillas!! 🥴
@sergio_fajardo @VickyDavilaH @PalomaValenciaL @PinzonBueno @EnriquePenalosa @JERobledo @MauricioCard @JDOviedoAr @lunadavid @juanmanuelgalan",1972716650454462784,2025-09-29 17:34:35+00:00,cramirezginema,Claudia Ramirez M.
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",['1972715601270538251'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}]}",2340671818,@JDOviedoAr @petrogustavo @ConTodaPorCol Sigues siendo el mismo maricon de siempre,1972715601270538251,2025-09-29 17:30:25+00:00,micholacho1056,William Huertas
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}",['1972709113520902614'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",1884055884025733120,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Jajajajajajaja estos firmantes jajajajajJj cafres!!,1972709113520902614,2025-09-29 17:04:38+00:00,PerinanSha91379,Sharon Periñan Payares
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1972707647209304237'],"{'hashtags': [{'start': 42, 'end': 57, 'tag': 'OviedoQuéMiedo'}, {'start': 62, 'end': 88, 'tag': 'OviedoRataDefensordeRatas'}], 'urls': [{'start': 320, 'end': 343, 'url': 'https://t.co/QNR1naQ2aA', 'expanded_url': 'https://x.com/CodigoAlarma/status/1972707647209304237/video/1', 'display_url': 'pic.x.com/QNR1naQ2aA', 'media_key': '13_1972707561309696000'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}], 'annotations': [{'start': 43, 'end': 56, 'probability': 0.4313, 'type': 'Organization', 'normalized_text': 'OviedoQuéMiedo'}, {'start': 63, 'end': 87, 'probability': 0.3713, 'type': 'Organization', 'normalized_text': 'OviedoRataDefensordeRatas'}, {'start': 89, 'end': 106, 'probability': 0.676, 'type': 'Person', 'normalized_text': 'Juan Daniel Oviedo'}, {'start': 124, 'end': 127, 'probability': 0.5463, 'type': 'Organization', 'normalized_text': 'DANE'}, {'start': 133, 'end': 142, 'probability': 0.8855, 'type': 'Person', 'normalized_text': 'Iván Duque'}, {'start': 177, 'end': 185, 'probability': 0.4913, 'type': 'Person', 'normalized_text': 'María del'}, {'start': 187, 'end': 200, 'probability': 0.4058, 'type': 'Other', 'normalized_text': 'Rosario Guerra'}, {'start': 311, 'end': 318, 'probability': 0.938, 'type': 'Place', 'normalized_text': 'Colombia'}]}",1754003293406203904,@JDOviedoAr @petrogustavo @ConTodaPorCol 🔴#OviedoQuéMiedo!!! 🔴#OviedoRataDefensordeRatas Juan Daniel Oviedo Ex-director del DANE con Iván Duque y asesor de la uribista corrupta María del Rosario Guerra se jacta de sus peligrosas simpatías a favor de las élites parásitas de clase política corrupta y ladrona de Colombia https://t.co/QNR1naQ2aA,1972707647209304237,2025-09-29 16:58:48+00:00,CodigoAlarma,Código Alerta Roja
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",['1972706508816458232'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}]}",128059106,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Y este quien es?,1972706508816458232,2025-09-29 16:54:17+00:00,Davicomadreja,•Davico•
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 14}",['1972704344509231559'],"{'mentions': [{'start': 0, 'end': 15, 'username': 'Mauriciotellez', 'id': '47946532'}, {'start': 16, 'end': 31, 'username': 'SergioCabrales', 'id': '43043907'}, {'start': 32, 'end': 43, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 44, 'end': 55, 'username': 'JoseILopez', 'id': '66791821'}, {'start': 56, 'end': 72, 'username': 'fernandoposada_', 'id': '147705809'}, {'start': 73, 'end': 83, 'username': 'SashaGrey', 'id': '16089776'}, {'start': 84, 'end': 95, 'username': 'figuerjoda', 'id': '180861689'}, {'start': 96, 'end': 107, 'username': 'MunirFalah', 'id': '602042137'}, {'start': 108, 'end': 118, 'username': 'Jmfariasu', 'id': '888784815830556673'}, {'start': 119, 'end': 125, 'username': 'rasbe', 'id': '22451566'}, {'start': 126, 'end': 138, 'username': 'BabaRamDass', 'id': '43464948'}, {'start': 197, 'end': 210, 'username': 'ECOPETROL_SA', 'id': '54203675'}], 'annotations': [{'start': 223, 'end': 225, 'probability': 0.9586, 'type': 'Place', 'normalized_text': 'USA'}, {'start': 359, 'end': 362, 'probability': 0.6251, 'type': 'Organization', 'normalized_text': 'MBTU'}]}",777688780526399489,"@Mauriciotellez @SergioCabrales @JDOviedoAr @JoseILopez @fernandoposada_ @SashaGrey @figuerjoda @MunirFalah @Jmfariasu @rasbe @BabaRamDass 15 billones nos cuesta importar gas más caro, que lo trae @ECOPETROL_SA de fracking USA al triple del precio, cuando se opone al fracking aquí. Doble de emisiones, aprovecha a subir precio del nacional de 5 a 10 dólares MBTU. 35MM de paganinis, negocio socio.",1972704344509231559,2025-09-29 16:45:41+00:00,Mohamma76526023,Mauricio Olascoaga
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",['1972703856652857409'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 41, 'end': 54, 'username': 'MauricioCard', 'id': '142849205'}, {'start': 55, 'end': 71, 'username': 'juanmanuelgalan', 'id': '31162623'}, {'start': 72, 'end': 88, 'username': 'MauricioGomezCO', 'id': '317239510'}, {'start': 89, 'end': 101, 'username': 'mclacouture', 'id': '302794483'}, {'start': 102, 'end': 112, 'username': 'lunadavid', 'id': '44740326'}, {'start': 113, 'end': 129, 'username': 'EnriquePenalosa', 'id': '108717093'}, {'start': 130, 'end': 144, 'username': 'mluciaramirez', 'id': '198984928'}], 'annotations': [{'start': 177, 'end': 190, 'probability': 0.9961, 'type': 'Place', 'normalized_text': 'Estados Unidos'}, {'start': 207, 'end': 211, 'probability': 0.9812, 'type': 'Person', 'normalized_text': 'Trump'}]}",317419999,@JDOviedoAr @petrogustavo @ConTodaPorCol @MauricioCard @juanmanuelgalan @MauricioGomezCO @mclacouture @lunadavid @EnriquePenalosa @mluciaramirez Para este pelmazo sumar es ir a Estados Unidos y chuparsela a Trump.,1972703856652857409,2025-09-29 16:43:45+00:00,MiguelHernand29,Miguel Hernández 🦋🥑🐝🐴🌮🥘
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 2}",['1972703028244267229'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 26, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}, {'start': 27, 'end': 43, 'username': 'MejorJuntos_col', 'id': '1966611523217903617'}]}",581847750,@JDOviedoAr @ConTodaPorCol @MejorJuntos_col No más pensejos...como mierda!,1972703028244267229,2025-09-29 16:40:27+00:00,paterbello,Pater
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 6}",['1972700019179360386'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}], 'annotations': [{'start': 59, 'end': 64, 'probability': 0.7848, 'type': 'Person', 'normalized_text': 'oviedo'}, {'start': 85, 'end': 91, 'probability': 0.9619, 'type': 'Person', 'normalized_text': 'Fajardo'}, {'start': 95, 'end': 101, 'probability': 0.8707, 'type': 'Person', 'normalized_text': 'Gaviria'}]}",1449484952,"@JDOviedoAr @petrogustavo @ConTodaPorCol Todos sabemos que oviedo termina apoyando a Fajardo o Gaviria para terminar apoyando realmente al que quieren, al que diga uribe cierto?",1972700019179360386,2025-09-29 16:28:30+00:00,KalwaRun,Un-tal-ivan
"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}",['1972699829584220609'],"{'mentions': [{'start': 0, 'end': 11, 'username': 'JDOviedoAr', 'id': '219434063'}, {'start': 12, 'end': 25, 'username': 'petrogustavo', 'id': '49849732'}, {'start': 26, 'end': 40, 'username': 'ConTodaPorCol', 'id': '1750477322765967360'}], 'annotations': [{'start': 60, 'end': 68, 'probability': 0.5436, 'type': 'Other', 'normalized_text': 'arodillad'}]}",46371782,@JDOviedoAr @petrogustavo @ConTodaPorCol otra loca y fach@  arodillad@ pa variar,1972699829584220609,2025-09-29 16:27:45+00:00,nomashitco,Viviendo en exilio
